"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2026","4,348.35","4,329.42","4,351.65","4,324.42","","0.77%"
"12/31/2025","4,315.09","4,346.47","4,373.89","4,274.51","","-0.72%"
"12/30/2025","4,346.51","4,332.09","4,404.51","4,323.33","","0.33%"
"12/29/2025","4,332.08","4,540.70","4,550.10","4,303.75","","-4.42%"
"12/26/2025","4,532.63","4,479.64","4,550.11","4,475.10","","0.83%"
"12/25/2025","4,495.35","4,487.10","4,500.35","4,483.59","","0.35%"
"12/24/2025","4,479.64","4,488.81","4,525.71","4,448.27","","-0.20%"
"12/23/2025","4,488.82","4,445.62","4,499.87","4,429.92","","0.96%"
"12/22/2025","4,445.95","4,338.98","4,449.60","4,337.90","","2.48%"
"12/19/2025","4,338.55","4,332.33","4,356.65","4,309.01","","0.14%"
"12/18/2025","4,332.40","4,341.06","4,374.69","4,308.60","","-0.20%"
"12/17/2025","4,341.08","4,303.80","4,349.13","4,301.27","","0.87%"
"12/16/2025","4,303.80","4,302.58","4,335.16","4,271.34","","0.03%"
"12/15/2025","4,302.70","4,299.00","4,350.50","4,285.21","","0.01%"
"12/12/2025","4,302.43","4,283.26","4,353.72","4,257.60","","0.45%"
"12/11/2025","4,283.28","4,228.53","4,286.24","4,203.98","","1.29%"
"12/10/2025","4,228.55","4,209.56","4,239.10","4,181.68","","0.45%"
"12/09/2025","4,209.54","4,189.00","4,221.67","4,170.00","","0.49%"
"12/08/2025","4,189.05","4,197.19","4,219.31","4,176.34","","-0.19%"
"12/05/2025","4,197.13","4,208.69","4,259.55","4,191.95","","-0.27%"
"12/04/2025","4,208.69","4,206.15","4,219.46","4,174.60","","0.06%"
"12/03/2025","4,206.22","4,208.14","4,242.00","4,194.39","","-0.05%"
"12/02/2025","4,208.14","4,232.72","4,236.28","4,163.01","","-0.58%"
"12/01/2025","4,232.73","4,223.93","4,264.74","4,205.87","","0.05%"
"11/28/2025","4,230.63","4,157.57","4,231.51","4,157.15","","1.76%"
"11/27/2025","4,157.57","4,164.53","4,169.00","4,142.57","","-0.17%"
"11/26/2025","4,164.59","4,131.15","4,173.70","4,128.99","","0.81%"
"11/25/2025","4,131.15","4,139.66","4,159.45","4,109.72","","-0.21%"
"11/24/2025","4,139.70","4,066.47","4,140.13","4,040.03","","1.82%"
"11/21/2025","4,065.90","4,077.54","4,101.37","4,022.70","","-0.28%"
"11/20/2025","4,077.50","4,081.66","4,110.17","4,038.73","","-0.10%"
"11/19/2025","4,081.66","4,067.86","4,133.04","4,055.23","","0.34%"
"11/18/2025","4,067.88","4,044.61","4,082.69","3,997.99","","0.58%"
"11/17/2025","4,044.61","4,082.02","4,106.85","4,006.83","","-0.86%"
"11/14/2025","4,079.58","4,171.47","4,211.68","4,032.32","","-2.20%"
"11/13/2025","4,171.46","4,198.75","4,245.20","4,145.41","","-0.65%"
"11/12/2025","4,198.73","4,126.68","4,211.96","4,098.76","","1.75%"
"11/11/2025","4,126.68","4,115.91","4,149.20","4,097.09","","0.26%"
"11/10/2025","4,115.90","3,999.94","4,116.26","3,997.87","","2.90%"
"11/07/2025","3,999.72","3,977.92","4,027.63","3,974.41","","0.55%"
"11/06/2025","3,977.87","3,982.59","4,019.84","3,964.46","","-0.12%"
"11/05/2025","3,982.62","3,932.06","3,990.60","3,929.61","","1.29%"
"11/04/2025","3,932.05","4,001.67","4,006.00","3,928.66","","-1.74%"
"11/03/2025","4,001.67","4,002.28","4,030.70","3,962.85","","-0.02%"
"10/31/2025","4,002.28","4,024.37","4,046.00","3,972.45","","-0.55%"
"10/30/2025","4,024.47","3,931.15","4,027.44","3,915.17","","2.39%"
"10/29/2025","3,930.38","3,952.52","4,030.40","3,917.12","","-0.56%"
"10/28/2025","3,952.58","3,983.41","4,020.11","3,886.49","","-0.73%"
"10/27/2025","3,981.59","4,065.35","4,109.33","3,971.34","","-3.17%"
"10/24/2025","4,112.10","4,127.13","4,144.70","4,044.70","","-0.34%"
"10/23/2025","4,126.17","4,095.57","4,154.96","4,065.49","","0.78%"
"10/22/2025","4,094.07","4,123.10","4,161.65","4,004.69","","-0.75%"
"10/21/2025","4,125.10","4,355.55","4,375.59","4,086.47","","-5.31%"
"10/20/2025","4,356.50","4,251.82","4,381.60","4,218.81","","2.51%"
"10/17/2025","4,249.98","4,328.75","4,379.44","4,186.91","","-1.76%"
"10/16/2025","4,326.18","4,209.81","4,330.91","4,199.60","","2.79%"
"10/15/2025","4,208.58","4,144.40","4,218.42","4,140.45","","1.60%"
"10/14/2025","4,142.31","4,108.98","4,180.39","4,090.49","","0.77%"
"10/13/2025","4,110.70","4,018.79","4,117.14","4,008.80","","2.30%"
"10/10/2025","4,018.30","3,977.58","4,022.96","3,946.80","","1.06%"
"10/09/2025","3,976.29","4,042.69","4,058.09","3,944.80","","-1.55%"
"10/08/2025","4,038.90","3,983.82","4,059.34","3,982.86","","1.38%"
"10/07/2025","3,983.82","3,962.48","3,991.18","3,940.75","","0.57%"
"10/06/2025","3,961.09","3,888.45","3,970.24","3,883.93","","1.91%"
"10/03/2025","3,886.83","3,857.92","3,891.85","3,838.05","","0.79%"
"10/02/2025","3,856.53","3,866.66","3,897.20","3,819.51","","-0.24%"
"10/01/2025","3,865.80","3,858.84","3,895.45","3,853.44","","0.19%"
"09/30/2025","3,858.51","3,833.84","3,871.87","3,793.18","","0.64%"
"09/29/2025","3,833.93","3,758.59","3,834.58","3,757.62","","1.96%"
"09/26/2025","3,760.24","3,748.18","3,783.88","3,734.58","","0.29%"
"09/25/2025","3,749.37","3,736.67","3,761.66","3,722.04","","0.35%"
"09/24/2025","3,736.29","3,765.78","3,779.54","3,717.30","","-0.74%"
"09/23/2025","3,764.19","3,746.47","3,791.11","3,736.73","","0.47%"
"09/22/2025","3,746.47","3,686.80","3,749.25","3,683.62","","1.67%"
"09/19/2025","3,684.98","3,645.04","3,686.33","3,632.28","","1.11%"
"09/18/2025","3,644.36","3,659.40","3,673.18","3,627.89","","-0.43%"
"09/17/2025","3,660.04","3,691.80","3,707.70","3,645.44","","-0.81%"
"09/16/2025","3,689.80","3,678.84","3,703.23","3,674.66","","0.29%"
"09/15/2025","3,679.13","3,644.40","3,685.65","3,626.60","","0.99%"
"09/12/2025","3,643.13","3,635.01","3,656.86","3,630.48","","0.25%"
"09/11/2025","3,634.09","3,642.60","3,649.27","3,614.01","","-0.18%"
"09/10/2025","3,640.74","3,629.05","3,657.77","3,619.58","","0.39%"
"09/09/2025","3,626.48","3,637.10","3,674.75","3,625.33","","-0.26%"
"09/08/2025","3,635.84","3,586.82","3,646.60","3,579.67","","1.37%"
"09/05/2025","3,586.81","3,547.00","3,600.33","3,540.05","","1.15%"
"09/04/2025","3,546.17","3,560.57","3,564.45","3,511.19","","-0.37%"
"09/03/2025","3,559.43","3,535.69","3,578.80","3,526.26","","0.73%"
"09/02/2025","3,533.73","3,478.36","3,540.64","3,470.20","","1.65%"
"09/01/2025","3,476.47","3,448.00","3,490.06","3,436.80","","0.83%"
"08/29/2025","3,448.00","3,418.20","3,454.08","3,404.29","","0.90%"
"08/28/2025","3,417.20","3,394.18","3,423.36","3,384.46","","0.58%"
"08/27/2025","3,397.42","3,392.88","3,398.94","3,373.76","","0.13%"
"08/26/2025","3,392.88","3,366.78","3,394.33","3,351.26","","0.77%"
